%cLabel	pValZ	cScorePheno
GO:0018394	0.002097544	0.069255687
GO:0016572	0.002220909	0.066024849
GO:0006531	0.002258444	0.174884203
GO:0071027	0.002435908	0.114308585
GO:0071028	0.002435908	0.114308585
GO:2000144	0.002477759	0.091885422
GO:0043471	0.002940704	0.136437828
GO:0090308	0.00310147	0.163551193
GO:0045724	0.00320375	0.09385901
GO:0086003	0.003916081	0.066744396
GO:0032464	0.001446007	0.135916066
GO:0070875	0.001818714	0.10372358
GO:0000083	0.002029854	0.092244058
GO:0035728	0.002111342	0.163792736
GO:0035729	0.002111342	0.163792736
GO:0098597	0.002198161	0.177221395
GO:0071880	0.002264029	0.114144919
GO:0034063	0.00233847	0.139867063
GO:0009303	0.002358546	0.102356994
GO:0035826	0.002435982	0.239129375
GO:0034643	0.002583889	0.098849726
GO:0047497	0.002583889	0.098849726
GO:0042551	0.002651429	0.053422977
GO:0032465	0.002813914	0.060359265
GO:0050812	0.003030714	0.155327954
GO:1902170	0.00306097	0.106224618
GO:0009134	0.003198067	0.14433719
GO:0010510	0.003162394	0.153326144
GO:0033522	0.003323272	0.084640633
GO:0070900	0.003799127	0.128694364
GO:1900864	0.003799127	0.128694364
GO:0045739	0.003845634	0.068266183
GO:0016079	0.001742231	0.111568084
GO:0032785	0.002151438	0.113111056
GO:0072178	0.002208641	0.172048801
GO:0036123	0.002221547	0.213649497
GO:0007214	0.002273796	0.117551462
GO:0048813	0.002300381	0.09020459
GO:0032460	0.002317142	0.156388998
GO:0072216	0.002505061	0.110593707
GO:0021548	0.002686387	0.102884379
GO:0035280	0.002774364	0.201781531
GO:1903898	0.00303236	0.126670789
GO:0071108	0.003240187	0.10139633
GO:0010216	0.004631965	0.155881398
GO:0031111	0.001762819	0.084700349
GO:0071871	0.002473459	0.075790804
GO:0046928	0.002686044	0.096217565
GO:0010586	0.002856692	0.143291671
GO:0018230	0.003170231	0.119095363
GO:0018231	0.003170231	0.119095363
GO:0010665	0.003514903	0.060404391
GO:0090503	0.003714983	0.101856251
GO:0071804	0.003787371	0.062327909
GO:0071805	0.003787371	0.062327909
GO:0048668	0.004317877	0.073776256
GO:0044789	0.004393	0.12706625
GO:0044791	0.004393	0.12706625
GO:0010612	0.001915295	0.145306428
GO:1903242	0.001915295	0.145306428
GO:0021892	0.002260169	0.14773418
GO:1904321	0.002524935	0.158386948
GO:1904322	0.002524935	0.158386948
GO:0090129	0.002578799	0.186668765
GO:2000188	0.002603503	0.111195042
GO:0045725	0.00306301	0.087332635
GO:1900221	0.003121337	0.122962297
GO:0035357	0.003327706	0.096377538
GO:0061635	0.003373741	0.176586854
GO:0000910	0.00341027	0.041497882
GO:0099515	0.00341167	0.10427173
GO:0050961	0.002406837	0.082887669
GO:0050965	0.002406837	0.082887669
GO:0009225	0.002424416	0.093574487
GO:0043497	0.00247938	0.107766203
GO:0071322	0.002640528	0.074753227
GO:1903624	0.002860782	0.182561907
GO:2000273	0.002869194	0.116440142
GO:0035136	0.003006652	0.093521435
GO:1901385	0.003042259	0.130530198
GO:0006476	0.003192669	0.059283776
GO:0021952	0.003328942	0.128679365
GO:0032966	0.003310039	0.193307603
GO:0034067	0.003441009	0.081172554
GO:0030007	0.003468639	0.143839797
GO:0018158	0.003724156	0.148448298
GO:0016082	0.004044582	0.126975829
GO:0006418	0.004358239	0.109536299
GO:0016577	0.004712448	0.107984672
GO:0051306	0.004840498	0.082801968
GO:1902803	0.003102838	0.15595846
GO:0044380	0.003208937	0.085338199
GO:0022038	0.003370455	0.163634651
GO:0006473	0.003428918	0.06053319
GO:0098732	0.003444954	0.059403461
GO:0033127	0.003852814	0.116833043
GO:0009749	0.003942076	0.055161051
GO:0035601	0.004116336	0.056725656
GO:0008033	0.004755253	0.075001145
GO:0043928	0.002233788	0.111121875
GO:0000712	0.002323377	0.111437888
GO:0031050	0.003137167	0.083704801
GO:0070918	0.003137167	0.083704801
GO:0010248	0.003402798	0.18123608
GO:0018146	0.003594255	0.09840268
GO:0021955	0.003792334	0.116820507
GO:0061469	0.003927872	0.142074668
GO:0070059	0.004022629	0.056335542
GO:0006569	0.004325145	0.117320401
GO:0009746	0.004286292	0.054920389
GO:0042436	0.004325145	0.117320401
GO:0046218	0.004325145	0.117320401
GO:0048670	0.004376885	0.094107246
GO:0033234	0.00454456	0.071810481
GO:0051304	0.004784415	0.0721443
GO:0070076	0.004911785	0.104863528
GO:0060992	0.005138321	0.118844436
GO:0045162	0.003204929	0.091543157
GO:0021684	0.003329586	0.132418768
GO:0021707	0.003329586	0.132418768
GO:0031116	0.00350231	0.08834364
GO:0034227	0.003579618	0.246192561
GO:1901642	0.003652921	0.167765679
GO:0045741	0.003710154	0.220657897
GO:0070255	0.003757604	0.111306533
GO:0042182	0.0040199	0.197784474
GO:0033523	0.00407015	0.145978278
GO:0007096	0.004087194	0.109877057
GO:0006167	0.00425447	0.118314116
GO:0021680	0.005598265	0.066715556
