FWDmax1,FWDmax2,FWDmax3,FWDmax4,FWDmax5,FWDmax6,FWD_tra1,FWD_tra2,FWD_tra3,FWD_rot1,FWD_rot2,FWD_rot3,Exclude_motion
0.160785,0.076593,0.074612,0.102102,0.087147,0.109435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.095650,0.054800,0.174796,0.405540,0.173491,0.072938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.121313,0.059635,0.085126,0.134932,0.104508,0.177617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.249324,0.200311,0.362322,0.598855,0.263160,0.189706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.188286,0.079173,0.221676,0.179221,0.102674,0.151031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.563328,0.161283,0.611068,0.582870,0.155787,0.234568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.205175,0.069030,0.217478,0.353286,0.100153,0.167074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.154217,0.203074,0.347796,0.331857,0.209875,0.185696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.199279,0.068768,0.130448,0.147937,0.105538,0.129145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.168884,0.159111,0.171354,0.271238,0.094366,0.083996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.658191,0.393441,0.905344,0.953344,0.264306,0.578744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.193141,0.161209,0.390688,0.703192,0.140490,0.134358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.567701,0.312301,0.468647,1.431306,1.221030,0.390872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.248726,0.124926,0.355575,0.169939,0.392705,0.154756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.144327,0.094416,0.212106,0.196124,0.123014,0.116196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.372587,0.262973,0.669173,0.716254,0.231474,0.308767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.528216,0.541708,1.013367,1.028975,0.237721,0.202998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.316450,0.069212,0.282588,0.258977,0.136593,0.134473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.082485,0.069678,0.190342,0.158709,0.117285,0.117342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.123071,0.079986,0.156622,0.217666,0.096486,0.178304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.422874,0.260672,0.491020,1.123456,0.439115,1.271794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.219079,0.263997,0.778620,0.630883,0.197499,0.649390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.077415,0.052686,0.180572,0.119749,0.106341,0.112013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.293137,0.073030,0.487916,0.259436,0.127712,0.114133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.144785,0.083677,0.202384,0.159168,0.160944,0.132009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1.294391,0.145945,0.174293,0.766331,0.418947,3.669852,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.229934,0.078848,0.210352,0.253705,0.163407,0.159683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.216623,0.107427,0.466833,0.306360,0.128744,0.152865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.166285,0.052118,0.181571,0.145646,0.105023,0.102903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.128826,0.044212,0.081974,0.091903,0.100440,0.100095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.130371,0.064422,0.127911,0.115623,0.141235,0.114821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.219154,0.069752,0.409557,0.267629,0.146849,0.164324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.306406,0.137464,0.557342,0.266368,0.332602,0.212224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.216375,0.090797,0.328889,0.431265,0.144500,0.170684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.182746,0.058819,0.228920,0.104851,0.110237,0.149714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.400295,0.126703,0.403664,0.223568,0.176299,0.157162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.158362,0.058785,0.093586,0.109206,0.077235,0.109435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.155206,0.069512,0.113255,0.104221,0.111669,0.114305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.255591,0.197058,0.753908,0.417686,0.156188,0.157334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.307356,0.536089,1.856551,1.868129,2.569429,1.318548,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.660816,1.153747,1.083788,0.874448,0.297537,0.956725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.197805,0.178533,0.534251,0.426280,0.190050,0.126681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
